,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
6544,516850.SH,新能源80ETF,华夏基金,中国银行,股票型,20210309,,20210319,20210301,,2.6624,0.5,0.1,,1.0,0.1,,中证新能源指数收益率,L,被动指数型,契约型开放式,,20210319,20210319,E
6545,011486.OF,博时创新精选A,博时基金,中国工商银行,混合型,20210309,,,20210225,,36.2336,1.5,0.25,,1.0,0.001,,中国战略新兴产业成份指数收益率*50%+中债综合财富(总值)指数收益率*30%+中证港股通综合指数(人民币)收益率*20%,L,混合型,契约型开放式,,20210609,20210609,O
6546,011511.OF,国寿安保稳鑫一年持有C,国寿安保基金,中国民生银行,混合型,20210309,,,20210301,,2.0331,0.8,0.15,,1.0,0.001,,中债综合(全价)指数收益率*80%+沪深300指数收益率*10%+恒生指数收益率*5%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210609,20220309,O
6547,011368.OF,创金合信群力一年定开C,创金合信基金,交通银行,混合型,20210309,,,20210218,,0.4602,1.5,0.2,,1.0,0.001,,沪深300指数收益率*65%+中证短融AAA指数收益率*30%+恒生中国企业指数收益率(经汇率调整后)*5%,L,混合型,契约型开放式,,20220309,20220309,O
6548,010813.OF,华安添益一年持有A,华安基金,中国邮政储蓄银行,混合型,20210309,,,20210204,,5.0006,0.8,0.2,,1.0,0.0001,,中债综合全价指数收益率*85%+中证800指数收益率*15%,L,混合型,契约型开放式,,20210513,20220309,O
6549,011257.OF,交银施罗德鸿光一年持有C,交银施罗德基金,中国光大银行,混合型,20210308,,,20210225,,17.5733,0.6,0.2,,1.0,0.0001,,中证综合债券指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210531,20220308,O
6550,011467.OF,兴业医疗保健C,兴业基金,中信银行,混合型,20210308,,,20210218,,4.2773,1.5,0.2,,1.0,0.0001,,中证医药卫生指数收益率*75%+中债综合全价指数收益率*25%,L,混合型,契约型开放式,,20210607,20210607,O
6551,011232.OF,光大锦弘C,光大保德信基金,华夏银行,混合型,20210308,,,20210301,,4.7575,0.6,0.15,,1.0,0.0001,,中证全债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210607,20210607,O
6552,159880.SZ,有色ETF基金,鹏华基金,中信证券,股票型,20210308,,20210325,20210301,,2.4705,0.5,0.1,,1.0,0.1,,国证有色金属行业指数收益率,L,被动指数型,契约型开放式,,20210325,20210325,E
6553,011707.OF,东吴配置优化C,东吴基金,中国农业银行,混合型,20210308,,,,,,1.5,0.25,,1.0,,,沪深300指数*50%+中国债券综合全价指数*50%,L,灵活配置型,契约型开放式,,20210308,20210308,O
6554,011466.OF,兴业医疗保健A,兴业基金,中信银行,混合型,20210308,,,20210218,,6.6491,1.5,0.2,,1.0,0.0001,,中证医药卫生指数收益率*75%+中债综合全价指数收益率*25%,L,混合型,契约型开放式,,20210607,20210607,O
6555,011231.OF,光大锦弘A,光大保德信基金,华夏银行,混合型,20210308,,,20210301,,5.3104,0.6,0.15,,1.0,0.0001,,中证全债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210607,20210607,O
6556,011256.OF,交银施罗德鸿光一年持有A,交银施罗德基金,中国光大银行,混合型,20210308,,,20210225,,38.289,0.6,0.2,,1.0,0.0001,,中证综合债券指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210531,20220308,O
6557,011556.OF,富国民裕沪港深精选C,富国基金,中国民生银行,混合型,20210308,,,,,,1.5,0.25,,1.0,,,恒生综合指数收益率(经汇率调整后)*70%+中债综合全价(总值)指数*20%+沪深300指数收益率*10%,L,混合型,契约型开放式,,20210308,20210308,O
6558,011258.OF,招商保证金快线D,招商基金,平安银行,货币市场型,20210308,,,,,,0.2,0.08,,1.0,,,人民币活期存款基准利率(税后),L,货币型,契约型开放式,,20210308,20210308,O
6559,010997.OF,招商品质升级C,招商基金,中国工商银行,混合型,20210305,,,20210301,,6.5907,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中债综合(全价)指数收益率*30%+恒生综合指数收益率(经汇率调整后)*10%,L,混合型,契约型开放式,,20210507,20210507,O
6560,010795.OF,民生加银价值发现一年持有A,民生加银基金,中国建设银行,混合型,20210305,,,20210225,,8.5526,1.5,0.25,,1.0,0.001,,中证800指数收益率*60%+恒生综合指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20210603,20220308,O
6561,517060.SH,沪港深ETF500,华宝基金,中国银行,股票型,20210305,20220218,20210326,20210218,20221111,2.2277,0.5,0.1,,1.0,0.1,,中证沪港深500指数收益率,D,被动指数型,契约型开放式,,20210326,20210326,E
6562,011615.OF,工银科创板50ETF联接C,工银瑞信基金,中国农业银行,股票型,20210305,,,20210224,,3.0993,0.5,0.1,,1.0,0.0001,,上证科创板50成份指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210406,20210406,O
6563,010796.OF,民生加银价值发现一年持有C,民生加银基金,中国建设银行,混合型,20210305,,,20210225,,0.8081,1.5,0.25,,1.0,0.001,,中证800指数收益率*60%+恒生综合指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20210603,20220308,O
6564,010996.OF,招商品质升级A,招商基金,中国工商银行,混合型,20210305,,,20210301,,52.7574,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中债综合(全价)指数收益率*30%+恒生综合指数收益率(经汇率调整后)*10%,L,混合型,契约型开放式,,20210507,20210507,O
6565,010467.OF,华安锦溶0-5年金融债3个月定开债,华安基金,华夏银行,债券型,20210305,,,20210125,,44.6005,0.3,0.05,,1.0,0.0001,,中债-金融债券总全价(总值)指数收益率,L,债券型,契约型开放式,,20210608,20210608,O
6566,010115.OF,易方达远见成长A,易方达基金,中国建设银行,混合型,20210305,,,20210218,,72.1398,1.5,0.25,,1.0,0.0001,,中证500指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,L,混合型,契约型开放式,,20210416,20210416,O
6567,011614.OF,工银科创板50ETF联接A,工银瑞信基金,中国农业银行,股票型,20210305,,,20210224,,16.4523,0.5,0.1,,1.0,0.0001,,上证科创板50成份指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210406,20210406,O
6568,011412.OF,易方达远见成长C,易方达基金,中国建设银行,混合型,20210305,,,20210218,,3.4521,1.5,0.25,,1.0,0.0001,,中证500指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,L,混合型,契约型开放式,,20210416,20210416,O
6569,011611.OF,华泰柏瑞科创板50ETF联接C,华泰柏瑞基金,中国建设银行,股票型,20210304,,,20210224,,2.7041,0.5,0.1,,1.0,0.0001,,上证科创板50成份指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210412,20210412,O
6570,159851.SZ,金融科技ETF,华宝基金,中国建设银行,股票型,20210304,,20210319,20210222,,2.5445,0.5,0.1,,1.0,0.1,,中证金融科技主题指数收益率,L,被动指数型,契约型开放式,,20210319,20210319,E
6571,011118.OF,汇添富稳健睿选一年持有A,汇添富基金,招商银行,混合型,20210304,,,20210224,,2.742,0.6,0.15,,1.0,0.001,,中债综合指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20210531,20220304,O
6572,011610.OF,华泰柏瑞科创板50ETF联接A,华泰柏瑞基金,中国建设银行,股票型,20210304,,,20210224,,3.1516,0.5,0.1,,1.0,0.0001,,上证科创板50成份指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210412,20210412,O
6573,009466.OF,东方可转债C,东方基金,中国农业银行,债券型,20210304,,,20210201,,1.0113,0.7,0.2,,1.0,0.0001,,中证可转换债券指数收益率*70%+中债综合指数收益率*30%,L,债券型,契约型开放式,,20210406,20210406,O
6574,516760.SH,养殖ETF,平安基金,招商银行,股票型,20210304,,20210312,20210224,,2.2522,0.5,0.1,,1.0,0.1,,中证畜牧养殖指数收益率,L,被动指数型,契约型开放式,,20210312,20210312,E
6575,011173.OF,银华心享一年持有,银华基金,平安银行,混合型,20210304,,,20210225,,92.1451,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率调整)*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20210528,20220304,O
6576,009465.OF,东方可转债A,东方基金,中国农业银行,债券型,20210304,,,20210201,,1.1211,0.7,0.2,,1.0,0.0001,,中证可转换债券指数收益率*70%+中债综合指数收益率*30%,L,债券型,契约型开放式,,20210406,20210406,O
6577,011525.OF,中信保诚丰裕一年持有A,中信保诚基金,中信银行,混合型,20210304,,,20210226,,78.7739,0.8,0.15,,1.0,0.0001,,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210603,20220304,O
6578,011119.OF,汇添富稳健睿选一年持有C,汇添富基金,招商银行,混合型,20210304,,,20210224,,1.0331,0.6,0.15,,1.0,0.001,,中债综合指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20210531,20220304,O
6579,011612.OF,华夏科创板50ETF联接A,华夏基金,招商银行,股票型,20210304,,,20210224,,14.3347,0.5,0.1,,1.0,0.0001,,上证科创板50成份指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210419,20210419,O
6580,860058.OF,光大阳光稳健增长C,光证资管,中国光大银行,混合型,20210304,,,,,,1.0,0.1,,1.0,,,中债综合指数收益率*50%+沪深300指数收益率*40%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20210304,20210304,O
6581,011526.OF,中信保诚丰裕一年持有C,中信保诚基金,中信银行,混合型,20210304,,,20210226,,21.555,0.8,0.15,,1.0,0.0001,,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210603,20220304,O
6582,011394.OF,中欧融益稳健一年持有C,中欧基金,江苏银行,混合型,20210304,,,20210301,,0.0435,0.6,0.13,,1.0,0.0001,,中债综合财富(总值)指数收益率*80%+沪深300指数收益率*17%+中证港股通综合指数(人民币)收益率*3%,L,混合型,契约型开放式,,20210603,20220304,O
6583,860009.OF,光大阳光稳健增长A,光证资管,中国光大银行,混合型,20210304,,,20210304,,,1.0,0.1,,1.0,,,中债综合指数收益率*50%+沪深300指数收益率*40%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20210304,20210304,O
6584,011393.OF,中欧融益稳健一年持有A,中欧基金,江苏银行,混合型,20210304,,,20210301,,21.0459,0.6,0.13,,1.0,0.0001,,中债综合财富(总值)指数收益率*80%+沪深300指数收益率*17%+中证港股通综合指数(人民币)收益率*3%,L,混合型,契约型开放式,,20210603,20220304,O
6585,011613.OF,华夏科创板50ETF联接C,华夏基金,招商银行,股票型,20210304,,,20210224,,18.3593,0.5,0.1,,1.0,0.0001,,上证科创板50成份指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210419,20210419,O
6586,516500.SH,生物科技ETF,华夏基金,中国建设银行,股票型,20210304,,20210317,20210222,,3.0694,0.5,0.1,,1.0,0.1,,中证生物科技主题指数收益率,L,被动指数型,契约型开放式,,20210317,20210317,E
6587,011358.OF,华泰柏瑞品质成长C,华泰柏瑞基金,招商银行,混合型,20210303,,,20210226,,1.8053,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20210531,20210531,O
6588,011357.OF,华泰柏瑞品质成长A,华泰柏瑞基金,招商银行,混合型,20210303,,,20210226,,49.3594,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20210531,20210531,O
6589,011422.OF,广发全球科技三个月定开C人民币,广发基金,平安银行,混合型,20210303,,,20210222,,14.1289,1.5,0.35,,1.0,0.0001,,人民币计价的中证香港美国上市中美科技指数收益率*40%+中证TMT产业主题指数收益率*30%+中债新综合财富(总值)指数收益率*30%,L,混合型,契约型开放式,,20210603,20210603,O
6590,010815.OF,农银汇理新兴消费,农银汇理基金,中国邮政储蓄银行,股票型,20210303,,,20210222,,60.622,1.5,0.25,,1.0,0.001,,中证内地消费主题指数收益率*80%+中证全债指数收益率*20%,L,股票型,契约型开放式,,20210507,20210507,O
6591,011420.OF,广发全球科技三个月定开A人民币,广发基金,平安银行,混合型,20210303,,,20210222,,51.3176,1.5,0.35,,1.0,0.0001,,人民币计价的中证香港美国上市中美科技指数收益率*40%+中证TMT产业主题指数收益率*30%+中债新综合财富(总值)指数收益率*30%,L,混合型,契约型开放式,,20210603,20210603,O
6592,011423.OF,广发全球科技三个月定开C美元,广发基金,平安银行,混合型,20210303,,,20210222,,0.7102,1.5,0.35,,0.1549,0.0001,,人民币计价的中证香港美国上市中美科技指数收益率*40%+中证TMT产业主题指数收益率*30%+中债新综合财富(总值)指数收益率*30%,L,混合型,契约型开放式,,20210603,20210603,O
6593,011421.OF,广发全球科技三个月定开A美元,广发基金,平安银行,混合型,20210303,,,20210222,,1.3193,1.5,0.35,,0.1549,0.0001,,人民币计价的中证香港美国上市中美科技指数收益率*40%+中证TMT产业主题指数收益率*30%+中债新综合财富(总值)指数收益率*30%,L,混合型,契约型开放式,,20210603,20210603,O
6594,159842.SZ,券商ETF,银华基金,招商银行,股票型,20210303,,20210319,20210222,,4.9225,0.5,0.1,,1.0,0.1,,中证全指证券公司指数收益率,L,被动指数型,契约型开放式,,20210319,20210319,E
6595,011702.OF,广发睿享稳健增利C,广发基金,中国建设银行,混合型,20210303,,,,,,1.0,0.2,,1.0,,,中证全债指数收益率*75%+中证800指数收益率*25%,L,混合型,契约型开放式,,20210303,20210304,O
6596,010592.OF,南方医药创新A,南方基金,中国农业银行,股票型,20210302,,,20210219,,26.8452,1.5,0.25,,1.0,0.0001,,中证医药卫生指数收益率*65%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*15%,L,股票型,契约型开放式,,20210601,20210601,O
6597,010843.OF,富国天润回报A,富国基金,中国邮政储蓄银行,混合型,20210302,,,20210222,,2.0701,0.8,0.1,,1.0,0.001,,中债综合全价指数收益率*75%+沪深300指数收益率*20%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,20210525,20210525,O
6598,010694.OF,万家内需增长一年持有,万家基金,中国农业银行,混合型,20210302,,,20210218,,21.913,1.5,0.25,,1.0,0.001,,沪深300指数收益率*70%+上证国债指数收益率*30%,L,混合型,契约型开放式,,20210607,20220302,O
6599,010593.OF,南方医药创新C,南方基金,中国农业银行,股票型,20210302,,,20210219,,12.8716,1.5,0.25,,1.0,0.0001,,中证医药卫生指数收益率*65%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*15%,L,股票型,契约型开放式,,20210601,20210601,O
6600,010953.OF,天弘国证A50A,天弘基金,海通证券,股票型,20210302,,,20210126,,0.3418,0.5,0.1,,1.0,0.001,,国证A50指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210315,20210315,O
6601,011169.OF,建信臻选,建信基金,中国农业银行,混合型,20210302,,,20210222,,51.3723,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+中债综合全价(总值)指数收益率*20%+中国战略新兴产业成份指数收益率*10%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,20210512,20210512,O
6602,010954.OF,天弘国证A50C,天弘基金,海通证券,股票型,20210302,,,20210126,,0.9387,0.5,0.1,,1.0,0.001,,国证A50指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210315,20210315,O
6603,010844.OF,富国天润回报C,富国基金,中国邮政储蓄银行,混合型,20210302,,,20210222,,0.2957,0.8,0.1,,1.0,0.001,,中债综合全价指数收益率*75%+沪深300指数收益率*20%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,20210525,20210525,O
6604,011164.OF,富国兴远优选12个月持有A,富国基金,兴业银行,混合型,20210302,,,20210225,,54.8305,1.5,0.25,,1.0,0.001,,中证800指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20210506,20220303,O
6605,516220.SH,化工龙头ETF,国泰基金,中信建投证券,股票型,20210302,,20210310,20210222,,11.4217,0.5,0.1,,1.0,0.1,,中证细分化工产业主题指数收益率,L,被动指数型,契约型开放式,,20210310,20210310,E
6606,011165.OF,富国兴远优选12个月持有C,富国基金,兴业银行,混合型,20210302,,,20210225,,24.5191,1.5,0.25,,1.0,0.001,,中证800指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20210506,20220303,O
6607,010632.OF,工银瑞信瑞达一年定开,工银瑞信基金,中信银行,债券型,20210302,,,20210224,,20.1024,0.3,0.1,,1.0,,,中债综合财富(总值)指数收益率,L,债券型,契约型开放式,,20220302,20220302,O
6608,011186.OF,信澳至诚精选A,信达澳亚基金,招商银行,混合型,20210302,,,20210223,,27.9319,1.5,0.25,,1.0,0.001,,沪深300指数收益率*75%+中证港股通综合指数收益率*20%+中债综合财富(总值)指数收益率*5%,L,混合型,契约型开放式,,20210430,20210430,O
6609,011608.OF,易方达科创板50ETF联接A,易方达基金,中国工商银行,股票型,20210301,,,20210224,,13.65,0.5,0.1,,1.0,0.0001,,上证科创板50成份指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210426,20210426,O
6610,159865.SZ,养殖ETF,国泰基金,浙商银行,股票型,20210301,,20210308,20210223,,5.1346,0.5,0.1,,1.0,0.1,,中证畜牧养殖指数收益率,L,被动指数型,契约型开放式,,20210308,20210308,E
6611,970020.OF,信达价值精选一年持有期A,信达证券,中国建设银行,混合型,20210301,,,20210301,,,0.6,0.1,,1.0,,,沪深300指数收益率*50%+中债总财富指数收益率*50%,L,灵活配置型,契约型开放式,,,20210305,O
6612,010253.OF,兴银中证500指数增强A,兴银基金,浙商银行,股票型,20210301,,,20210125,,1.206,0.8,0.2,,1.0,0.0001,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20210531,20210531,O
6613,011609.OF,易方达科创板50ETF联接C,易方达基金,中国工商银行,股票型,20210301,,,20210224,,36.2979,0.5,0.1,,1.0,0.0001,,上证科创板50成份指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210426,20210426,O
6614,011205.OF,兴银中证500指数增强C,兴银基金,浙商银行,股票型,20210301,,,20210125,,1.4343,0.8,0.2,,1.0,0.0001,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20210531,20210531,O
6615,970021.OF,信达价值精选一年持有期B,信达证券,中国建设银行,混合型,20210301,,,,,,0.6,0.1,,1.0,,,沪深300指数收益率*50%+中债总财富指数收益率*50%,L,灵活配置型,契约型开放式,,20210305,20210305,O
6616,516120.SH,化工50ETF,富国基金,中国建设银行,股票型,20210301,,20210309,20210219,,22.5608,0.5,0.1,,1.0,0.1,,中证细分化工产业主题指数收益率,L,被动指数型,契约型开放式,,20210309,20210309,E
6617,011531.OF,朱雀恒心一年持有,朱雀基金,招商银行,混合型,20210301,,,20210224,,79.0873,1.5,0.25,,1.0,0.001,,中证800指数收益率*50%+中证港股通综合指数(人民币)收益率*25%+中债综合全价(总值)指数收益率*25%,L,混合型,契约型开放式,,20210528,20220301,O
6618,011237.OF,上投摩根行业睿选C,上投摩根基金,交通银行,股票型,20210226,,,20210222,,10.5999,1.5,0.25,,1.0,0.001,,中证800指数收益率*65%+中证港股通指数收益率*20%+上证国债指数收益率*15%,L,股票型,契约型开放式,,20210329,20210329,O
6619,011517.OF,嘉实浦盈一年持有C,嘉实基金,浦发银行,混合型,20210226,,,20210220,,6.3841,0.6,0.2,,1.0,0.0001,,中债综合财富指数收益率*85%+中证800股票指数收益率*10%+恒生指数收益率*5%(人民币计价),L,混合型,契约型开放式,,20210705,20220228,O
6620,011622.OF,汇添富短债E,汇添富基金,兴业银行,债券型,20210226,,,,,,0.3,0.1,,1.0,,,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20210226,20210226,O
6621,011623.OF,汇添富中短债E,汇添富基金,中国工商银行,债券型,20210226,,,,,,0.3,0.1,,1.0,,,中债综合财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20210226,20210226,O
6622,011236.OF,上投摩根行业睿选A,上投摩根基金,交通银行,股票型,20210226,,,20210222,,58.8023,1.5,0.25,,1.0,0.001,,中证800指数收益率*65%+中证港股通指数收益率*20%+上证国债指数收益率*15%,L,股票型,契约型开放式,,20210329,20210329,O
6623,516020.SH,化工ETF,华宝基金,中国银行,股票型,20210226,,20210308,20210222,,10.9683,0.5,0.1,,1.0,0.1,,中证细分化工产业主题指数收益率,L,被动指数型,契约型开放式,,20210308,20210308,E
6624,516780.SH,稀土ETF,华泰柏瑞基金,中国银河,股票型,20210226,,20210308,20210222,,19.9995,0.5,0.1,,1.0,0.1,,中证稀土产业指数收益率,L,被动指数型,契约型开放式,,20210308,20210308,E
6625,011516.OF,嘉实浦盈一年持有A,嘉实基金,浦发银行,混合型,20210226,,,20210220,,90.4627,0.6,0.2,,1.0,0.0001,,中债综合财富指数收益率*85%+中证800股票指数收益率*10%+恒生指数收益率*5%(人民币计价),L,混合型,契约型开放式,,20210705,20220228,O
6626,011580.OF,民生加银稳健配置6个月,民生加银基金,中国工商银行,混合型,20210225,,,20210223,,49.9779,0.6,0.15,,1.0,0.01,,中债综合指数收益率*75%+沪深300指数收益率*20%+一年期定期存款基准利率(税后)*5%,L,混合型,契约型开放式,,20210524,20210826,O
6627,159869.SZ,游戏ETF,华夏基金,中国民生银行,股票型,20210225,,20210305,20210219,,10.0008,0.5,0.1,,1.0,0.1,,中证动漫游戏指数收益率,L,被动指数型,契约型开放式,,20210305,20210305,E
6628,516770.SH,游戏动漫ETF,华泰柏瑞基金,招商银行,股票型,20210225,,20210305,20210219,,6.3225,0.5,0.1,,1.0,0.1,,中证动漫游戏指数收益率,L,被动指数型,契约型开放式,,20210305,20210305,E
6629,159867.SZ,畜牧ETF,鹏华基金,华泰证券,股票型,20210225,,20210305,20210218,,3.7264,0.5,0.1,,1.0,0.1,,中证畜牧养殖指数收益率,L,被动指数型,契约型开放式,,20210305,20210305,E
6630,011166.OF,万家陆家嘴金融城金融债一年定开,万家基金,交通银行,债券型,20210225,,,20210201,,55.1999,0.3,0.1,,1.0,,,中债金融债总财富指数收益率,L,债券型,契约型开放式,,20220225,20220225,O
6631,516010.SH,游戏ETF,国泰基金,浦发银行,股票型,20210225,,20210305,20210219,,8.4769,0.5,0.1,,1.0,0.1,,中证动漫游戏指数收益率,L,被动指数型,契约型开放式,,20210305,20210305,E
6632,009947.OF,华宝宝泓纯债,华宝基金,广州农商银行,债券型,20210225,,,20201126,,20.3025,0.3,0.1,,1.0,0.0001,,中证综合债指数收益率,L,债券型,契约型开放式,,20210305,20210305,O
6633,850099.OF,海通量化价值精选一年持有C,海通资管,中国工商银行,混合型,20210224,,,,,,0.8,0.15,,1.0,,,沪深300指数收益率*80%+商业银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,20210310,20210310,O
6634,850088.OF,海通量化价值精选一年持有A,海通资管,中国工商银行,混合型,20210224,,,,,,0.8,0.15,,1.0,,,沪深300指数收益率*80%+商业银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,20210310,20210310,O
6635,010322.OF,大摩新兴产业,摩根士丹利华鑫基金,中国建设银行,股票型,20210224,,,20210209,,8.5635,1.5,0.25,,1.0,0.1,,中证新兴产业指数收益率*85%+中证综合债券指数收益率*15%,L,股票型,契约型开放式,,20210521,20210521,O
6636,010438.OF,嘉实竞争力优选C,嘉实基金,招商银行,混合型,20210224,,,20210222,,8.3982,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+恒生指数收益率*20%+中债综合财富指数收益率*20%,L,混合型,契约型开放式,,20210521,20210521,O
6637,010437.OF,嘉实竞争力优选A,嘉实基金,招商银行,混合型,20210224,,,20210222,,71.6018,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+恒生指数收益率*20%+中债综合财富指数收益率*20%,L,混合型,契约型开放式,,20210521,20210521,O
6638,011399.OF,汇添富数字未来A,汇添富基金,中国民生银行,混合型,20210224,,,20210128,,87.3265,1.5,0.15,,1.0,0.001,,中证500指数收益率*50%+恒生指数收益率(使用估值汇率折算)*30%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20210521,20210521,O
6639,011400.OF,汇添富数字未来C,汇添富基金,中国民生银行,混合型,20210224,,,20210128,,12.6037,1.5,0.15,,1.0,0.001,,中证500指数收益率*50%+恒生指数收益率(使用估值汇率折算)*30%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20210521,20210521,O
6640,850004.OF,海通量化价值精选一年持有B,海通资管,中国工商银行,混合型,20210224,,,20210224,,,0.7,0.15,,1.0,,,沪深300指数收益率*80%+商业银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,,20210310,O
6641,011592.OF,博时军工主题C,博时基金,中国建设银行,股票型,20210224,,,,,,1.5,0.25,,1.0,,,中证军工指数收益率*80%+上证国债指数收益率*20%,L,股票型,契约型开放式,,20210224,20210224,O
6642,010909.OF,大成沪深300增强C,大成基金,中国工商银行,股票型,20210223,,,20210125,,3.1251,0.8,0.15,,1.0,0.0001,,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20210309,20210309,O
6643,011187.OF,中加穗盈,中加基金,广州农商银行,债券型,20210223,,,20210208,,2.0303,0.3,0.1,,1.0,0.001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20210305,20210305,O
6644,010792.OF,华安成长先锋A,华安基金,中国建设银行,混合型,20210223,,,20210208,,37.4828,1.5,0.25,,1.0,0.0001,,中证800成长指数收益率*65%+中债综合全价指数收益率*20%+恒生指数收益率(经汇率调整)*15%,L,混合型,契约型开放式,,20210521,20210521,O
6645,010908.OF,大成沪深300增强A,大成基金,中国工商银行,股票型,20210223,,,20210125,,1.1785,0.8,0.15,,1.0,0.0001,,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20210309,20210309,O
6646,010793.OF,华安成长先锋C,华安基金,中国建设银行,混合型,20210223,,,20210208,,5.9183,1.5,0.25,,1.0,0.0001,,中证800成长指数收益率*65%+中债综合全价指数收益率*20%+恒生指数收益率(经汇率调整)*15%,L,混合型,契约型开放式,,20210521,20210521,O
6647,159870.SZ,化工ETF,鹏华基金,华泰证券,股票型,20210223,,20210303,20210218,,20.0011,0.5,0.1,,1.0,0.1,,中证细分化工产业主题指数收益率,L,被动指数型,契约型开放式,,20210303,20210303,E
6648,011617.OF,汇添富AAA级信用纯债E,汇添富基金,中国工商银行,债券型,20210222,,,,,,0.3,0.1,,1.0,,,中债高信用等级债券财富指数收益率*90%+银行活期存款利率(税后)*10%,L,债券型,契约型开放式,,20210222,20210222,O
6649,011597.OF,汇添富多策略E,汇添富基金,中国建设银行,债券型,20210222,,,,,,0.4,0.1,,1.0,,,中债综合指数收益率*90%+银行活期存款利率(税后)*10%,L,债券型,契约型开放式,,20210222,20210222,O
